time,open,high,low,close
1713152700,2922,2927.9,2908.15,2913.3
1713153000,2912.35,2918.7,2900.2,2904.55
1713153300,2905.6,2907.8,2901.85,2902.7
1713153600,2903,2907.25,2901.2,2906.05
1713153900,2905.5,2909.9,2904,2905.25
1713154200,2905,2907,2896.05,2900.05
1713154500,2900.65,2901.7,2893.25,2895.55
1713154800,2895.8,2901.75,2895.25,2901.75
1713155100,2901.7,2909.95,2899.95,2909
1713155400,2908.8,2916.9,2906,2915.75
1713155700,2915,2917.95,2912.65,2916
1713156000,2915.7,2922,2915.2,2918
1713156300,2917.15,2920.15,2915,2919.05
1713156600,2918,2924.4,2918,2923.65
1713156900,2924.4,2925.9,2920,2924.1
1713157200,2924,2926.95,2924,2925.05
1713157500,2925,2929.7,2923.25,2924.85
1713157800,2924.9,2932,2923.15,2928
1713158100,2928.1,2936.7,2927.8,2934.85
1713158400,2934.8,2945.9,2934.65,2945.9
1713158700,2946,2958,2945.5,2955.65
1713159000,2955.85,2961.25,2950.55,2961
1713159300,2961.05,2963.95,2952.25,2953.45
1713159600,2952.85,2956.7,2951.35,2952.3
1713159900,2952.35,2954.8,2950.45,2951.85
1713160200,2952.6,2954,2950,2952.3
1713160500,2952.45,2953,2948.5,2950
1713160800,2949.95,2958.95,2948.05,2957.5
1713161100,2957.85,2959.75,2954.55,2959.7
1713161400,2959.9,2960,2954,2954.1
1713161700,2954.65,2960,2954.4,2956.9
1713162000,2956.65,2958,2953.85,2956.7
1713162300,2957.45,2961,2956.2,2960.4
1713162600,2960.75,2962.9,2959.1,2961
1713162900,2960.5,2961.6,2957.85,2960.55
1713163200,2961.45,2961.45,2958.55,2959.9
1713163500,2959.7,2960,2956.75,2956.9
1713163800,2957,2959,2956.65,2958.05
1713164100,2958.35,2959,2955.65,2956.15
1713164400,2956.6,2959,2956.15,2956.75
1713164700,2955.8,2958,2955.25,2957.75
1713165000,2957.7,2958,2954.2,2957.65
1713165300,2957.6,2962.45,2957,2960.8
1713165600,2960.75,2964.25,2960.4,2962.15
1713165900,2962.05,2964.25,2960.15,2962.6
1713166200,2962.8,2964,2952.5,2954
1713166500,2953.55,2955.9,2950,2955.85
1713166800,2955.75,2955.75,2951,2953.75
1713167100,2953.9,2956.5,2952.8,2953
1713167400,2954.05,2954.05,2948.2,2949.5
1713167700,2949.45,2952.75,2947.2,2950.6
1713168000,2950.9,2952.2,2947.25,2949
1713168300,2949.1,2949.4,2942.2,2942.9
1713168600,2942.5,2946.55,2940.9,2944.65
1713168900,2945,2951.1,2945,2948.15
1713169200,2948,2956.75,2947.15,2955.4
1713169500,2955.1,2958.9,2954.75,2956.85
1713169800,2956.15,2957.2,2952.15,2954.6
1713170100,2955.05,2955.5,2951.25,2953.35
1713170400,2953.95,2955.45,2951,2951.4
1713170700,2951.5,2955.4,2951,2952.8
1713171000,2952.85,2953.35,2948.4,2950.4
1713171300,2950.55,2951.45,2945.45,2947.1
1713171600,2947.55,2949.2,2945,2946.3
1713171900,2947,2950.75,2944,2949.85
1713172200,2949.8,2950.65,2948.15,2948.7
1713172500,2949.1,2949.9,2944,2944.4
1713172800,2944.2,2945.9,2941.1,2941.5
1713173100,2941.6,2943.95,2941,2942.2
1713173400,2942.65,2943.95,2928.95,2930.05
1713173700,2930,2930.05,2923.35,2926.9
